domain,rating,count,pct
Beauty_and_Personal_Care,1,1545280,14.0999
Beauty_and_Personal_Care,2,611330,5.5781
Beauty_and_Personal_Care,3,779362,7.1113
Beauty_and_Personal_Care,4,1047743,9.5601
Beauty_and_Personal_Care,5,6975790,63.6506
Clothing_Shoes_and_Jewelry,1,3072719,10.5669
Clothing_Shoes_and_Jewelry,2,1706642,5.8691
Clothing_Shoes_and_Jewelry,3,2443207,8.4021
Clothing_Shoes_and_Jewelry,4,3380725,11.6262
Clothing_Shoes_and_Jewelry,5,18475316,63.5358
Sports_and_Outdoors,1,867146,11.9631
Sports_and_Outdoors,2,379106,5.2301
Sports_and_Outdoors,3,490454,6.7663
Sports_and_Outdoors,4,780933,10.7737
Sports_and_Outdoors,5,4730844,65.2667
