user_id,beauty_avg_rating,source_avg_rating,source_minus_beauty_avg,beauty_rating_count,source_rating_count
AEYUSZPAVINQR5VSRE3GOHUCIPBQ,2.5,2.3333,-0.1667,2,3
AGH6H6TUZCV42FJS34BDSPY6AJ7Q,2.0,3.5,1.5,1,4
AF5O7KZ3CBCSYEL3UNWVC2DYAAVA,4.3333,4.6667,0.3333,3,3
AFDUBTL7RP22QYPQ4AYLG4PB5BEQ,5.0,4.0,-1.0,1,3
AEZJZ64VK6J5DAGT53YQS32DNOVA,5.0,4.9,-0.1,2,10
AH3IICFTUNG72JBJWP4S54Q7AWAA,5.0,5.0,0.0,1,5
AEKV7VNBKJE427K4OJZMTY3DEA7A,5.0,4.75,-0.25,1,8
AFT4P7P4UJN2L4OQS42LZJV2BFIA,5.0,5.0,0.0,1,4
AHZDCRTVD35TYCPT2ZOO5G5IKH2A,5.0,5.0,0.0,1,2
AF3D2ELUQSI7XQAEMLOCUDQWMDTA,3.0,3.0,0.0,2,2
AFU42Z66ALETYOPZ3HGW6LSUOOQA,5.0,1.0,-4.0,1,1
AESWV7YOFHGY4LQB3X2S4BYSK32Q,5.0,5.0,0.0,1,1
AFXBPMFJLS4OOFQC462DJL5MEYRQ,5.0,5.0,0.0,1,1
AE4H56ADS2FJLWZBYYYNRESBDDAA,3.0,5.0,2.0,3,1
AHDKZ5ZCH6NJ42ENBIKBSL7BSIQA,5.0,5.0,0.0,1,2
AEGBNUMH6DY7S6YRIHXRRVK5R7LA,2.0,5.0,3.0,1,2
AHMTVQPJ4TNFVTZAPL2EPRZBM6PA,3.6667,5.0,1.3333,3,3
AHFXSHBDGYZUAV7CKPM6GBG5ZK3A,5.0,4.0,-1.0,1,1
AFRM4WJJVOKLJ2OJ4ADSWFAGV5WQ,3.9,3.3636,-0.5364,10,11
AFUFE3CPMX7OGCQ4CBTBVHB6IWEQ,1.0,2.5,1.5,1,2
AEVSEFGLV4C2OCS6HXR5NGXVIKLQ,2.0,4.3333,2.3333,2,6
AEQN2LLBL6633FB373HYB2AR4MEA,5.0,1.0,-4.0,1,1
AEYKVNLQ32W2LZS5KHM6NAJHHA6Q,5.0,3.0,-2.0,3,2
AGEDTTOLYR4YV5DSO5BY6J5QE5QQ,2.0,3.0,1.0,1,1
AG7RVVN644MKICAH2Z6RQ7TO256Q,1.0,5.0,4.0,1,2
AGYKH34UX7JAENEM2VAMJI473AZQ,5.0,2.0,-3.0,1,1
AEL7UGC27Q4TL2PZO7LWP2MOQX2A,5.0,5.0,0.0,1,1
AGFPH3YMU3LT2SIOYSNBCKVWLZOQ,5.0,3.0,-2.0,1,1
AES3GCR7VFUKT4Q3LBPMTAZXXPSQ,5.0,4.0,-1.0,1,1
AEVFTJKC67SDKNSGIVMD2A6OU7LQ,4.3333,5.0,0.6667,3,2
AH7PZBW4OLFTXXOCJTBXSGKWCX5Q,5.0,5.0,0.0,2,3
AHBXFJG4YUZZUKG2HNEWPHANBNUA,4.75,5.0,0.25,4,4
AFUSI642PNW6Y6CQ5ST66LMOFJQA,5.0,3.0,-2.0,1,3
AGZ7Z34LJYG37TMOOE6XEGRRN33Q,5.0,1.0,-4.0,1,1
AHMEX6DAXNFPJ4IXWWRW6UABXBCQ,5.0,4.0,-1.0,1,4
AHODNM47NEWZBN7R2635LB3PMXGQ,4.0,4.0,0.0,3,1
AGHGBVUGDT3G7FXC3LMOR4T5LQKQ,5.0,5.0,0.0,2,6
AH6ZQ67CR4DICCR65IIC4ZRWKU2Q,5.0,5.0,0.0,1,6
AFOAB6E5E6HOSUQ5IKXBC74N2S5Q,4.0,1.0,-3.0,1,1
AEHQK2QW2ZQVWL6QEM5PWEI4PZRQ,5.0,5.0,0.0,2,7
AEANMGJNEDBWQ4KHPTDFIIUIWY6Q,5.0,3.0,-2.0,2,2
AGDFXECYL5HQ6KTVJ42S6GOC7VQQ,5.0,3.6667,-1.3333,2,3
AEH7C4MHUIJ54F5JSVSU5JOR5MAA,1.0,5.0,4.0,1,2
AFIR5EKWO33EUTQZ3L6LU5TW7VHA,5.0,5.0,0.0,1,1
AFIR4MRQN7BIN2IDG33SGEVP5NVA,5.0,5.0,0.0,1,1
AEJASKQIR6UNW3WGSJMPBUKTYD6A,5.0,5.0,0.0,1,1
AEW3ZJP7D5VNU3OENBFNXTM7XA3Q,4.3333,5.0,0.6667,3,2
AGHOEF3YYZP7UJB7XRKKEG4YOUWA,5.0,2.0,-3.0,1,1
AEWG4FDSMZSY7RFUGOVBHWMIASGQ,3.6667,4.375,0.7083,3,8
AFDHQGXBFZU33I2KTDYIBWGQT4EQ,5.0,4.5,-0.5,1,4
AFL3JH42X46O5HJT73W3NJ5RD7OA,5.0,5.0,0.0,1,4
AGLO7CIQIWUJ2DN4AIQ2GWIFXHQA,5.0,3.75,-1.25,1,4
AF3SQGLAXDQPI2WVREQDLZWRX2OA,3.3333,3.0,-0.3333,9,2
AEKTANXVDDNFV452Z2SNYSGTHUJA,5.0,5.0,0.0,1,2
AFOSX3KCFKYINHU4Y5EV54NRLBLA,3.3333,4.0,0.6667,3,4
AHBXKVKCSMGUW6N7CFTYDDR3MEQA,5.0,2.0,-3.0,1,2
AHRNFFKTJZAZUYT5JGVPCNSP3QIQ,5.0,5.0,0.0,1,1
AE6A4CJ3VZMPN6LYZHPHATBFA7BQ,5.0,3.75,-1.25,4,8
AFVIKLKP4JGG5N63F3UOUHBDYC2Q,3.2,3.0,-0.2,5,7
AFKGAKGGINXZVOBTGGTVWSWVDJIA,5.0,5.0,0.0,2,2
AGOM6JBOET52YOEWC2S3RSGTFFVQ,1.0,1.0,0.0,1,1
AHMUKDGYKH7WITJACLO25OPVFILQ,5.0,5.0,0.0,1,1
AGP3GQZNN4IKEZWX2B7E7VX5VPNQ,1.0,4.0,3.0,1,5
AHESOOMJA4KHNJ7YI6M4AKOLH3CA,4.0,4.6667,0.6667,1,3
AHFLAA4P2T6UY2HP6XUQRIIIOXDA,3.6667,3.5,-0.1667,3,2
AESE4OC2BIPEOPM7XL352SQSAP7Q,5.0,5.0,0.0,1,4
AE3IXP4V6J6SJMZRTQ3YM5EEZ2LA,1.8333,3.0,1.1667,6,6
AF3LCV7HNKPKRWQTEIXZ4PJ33QOQ,4.6667,4.6667,0.0,3,6
AHJSHOQ5RU3O7WZI33US3JVR7CNQ,1.0,3.6667,2.6667,1,3
AE3XZVD5EIUVDSI5L4MJG3NJLI5Q,3.0,4.0714,1.0714,1,14
AFTXM3XRWII5S7REI7Y2FJDP2FQQ,5.0,5.0,0.0,3,4
AFIV2AMKB6SBE2537AV2QZCB5NYQ,5.0,3.5,-1.5,1,4
AHNVLT3ILG2SYSE4QTLSOFFZM2QA,5.0,5.0,0.0,1,1
AEKCRWDZHPBKWTQKOJIANI72KBDA,5.0,5.0,0.0,1,2
AGLU5HXRQQDVTKL4YDFODDG6262Q,5.0,3.6667,-1.3333,4,6
AGC7MMYLLVFFUOUKO3U4Y6MHCRLA,5.0,4.5,-0.5,1,8
AHIWD65SZRYWRPO7IUGBXLBRTC5A,5.0,5.0,0.0,1,4
AFAVFKGARISJ7FDSEWDRG33GCX7Q,5.0,5.0,0.0,6,2
AG245FU2NMTS4R2HO3Q5NXSRX4EQ,2.0,1.0,-1.0,1,1
AHWZ3GE67ITH22UJFSFTW77W5KQA,5.0,5.0,0.0,1,2
AH35DCQRR3EIYU3J36BSWPN6YXKA,3.6667,5.0,1.3333,3,3
AHO3QIGO5WFID32ZJGKVICYIIVBQ,5.0,5.0,0.0,1,1
AFNDMKJRFEOQS3TZ7NKMZZFEMGHQ,2.0,4.6667,2.6667,1,3
AGKSWOETODWCJ3YQAI4WBNIZVSXA,5.0,5.0,0.0,1,2
AH7KKAOVUKNEFOV25T4IWIMQJK4A,4.0,2.5,-1.5,1,2
AFPUXXWQHKBT3BTUNCXUGNR562ZA,5.0,5.0,0.0,2,2
AGOKFDUQ2TSXGR36GAK4WX72EXGQ,4.6667,5.0,0.3333,3,1
AEPPSHDNNFAWZDMSEIF2G26NPKIQ,4.75,4.4545,-0.2955,4,33
AF7EJBCBVT7QUYNZ7OCKWZ3IBA4A,5.0,4.5,-0.5,1,2
AFT4L3YGIDB3FI4ZIJDILLYGELMQ,5.0,4.0,-1.0,1,1
AF56LH5AXE3A2U5LTN24C3WVPZUQ,5.0,5.0,0.0,2,2
AFHMAGBLLOGQPCJERDEKHVJOSZDQ,4.0,5.0,1.0,1,2
AH2VT5JFR2D2FLVARRKRXSE46ZLA,4.0,3.8889,-0.1111,1,9
AGSLBVTZR4OAPZBI55ID56DBEVFA,4.3333,4.625,0.2917,3,8
AFBQCSDVT4Y7MJB3S5GFQPYZTOXQ,5.0,5.0,0.0,1,1
AFEDTFOXQFY7NUDU4P5SJXTZR7EA,5.0,5.0,0.0,1,3
AGGGMGZ34L3I22XHNTQGBCBRRNNA,5.0,4.5,-0.5,4,8
AGFC4U6FHXF4UH5J7ZKNRN7B33UQ,5.0,5.0,0.0,2,4
AFFXDIPLI22F5NDNDTISJ6JKU53A,5.0,5.0,0.0,1,1
AE6DIEQG74QGCZKIXUXKBZFQHOMQ,5.0,3.0,-2.0,1,1
AFPKGFWGLT2MCB27XEO6BSR6BHOQ,5.0,5.0,0.0,1,4
AGPU6DDSQKI4TSXLME66N3UAKC3Q,3.25,3.75,0.5,4,4
AH62WM7W5A6RGA5FPHDUDPRLZHMA,5.0,4.6,-0.4,1,5
AGXKLY2LKCZLL64Z6G2HWSZNZDSA,3.0,5.0,2.0,4,4
AFYCBWX3OQTZUNK6TUAGEXHCAYLA,3.0,1.5,-1.5,3,4
AHU4DS4547CAL7JJHAMASNUMEX6Q,3.5,5.0,1.5,2,1
AFXEOL6ZA2VU57XDWXGTZCRL6WMA,5.0,4.5,-0.5,3,2
AFAF26RKIOARGPE3NU54GSF7UZOA,3.6667,1.5,-2.1667,3,2
AHOHCFNZ6FJO5GXM5U74CEDSCF7A,3.6667,2.5,-1.1667,3,4
AHZ4K6ETX76QYNV7O27GQCENYH3Q,5.0,4.8261,-0.1739,1,23
AGQS3MEDRY7VZNNXRLFBDTHBHWAQ,3.0,5.0,2.0,2,1
AHY2EFUKGURGBTVNTPTZCBNXHY7A,5.0,5.0,0.0,1,1
AFIPWOWFZJCX5RZJ43FT5OETRH6Q,5.0,4.6,-0.4,1,5
AEOGQIMRPHME75JYMG3KMCV6K2VQ,2.0,3.3333,1.3333,1,3
AGQ4B4EADH6QUPFULQWQNTJGCXKQ,2.3333,5.0,2.6667,3,1
AFG2WTPMY5WM4B4HWABZG6IPBUSA,1.0,1.3333,0.3333,1,3
AH4D3BJEINUEG6QO6LLMXSUYRR7Q,1.0,5.0,4.0,1,2
AFDMY5RZA3MXPHLZC7YJZGAKAE3Q,4.0,5.0,1.0,1,3
AGASXPU62HBROAVHV7WCLX2Q3NWQ,5.0,4.0,-1.0,1,1
AE24SZDYCX6I2XALF4BZIT4YZH7A,5.0,5.0,0.0,1,1
AGXBHNOPD3ICUVUZZ224WYD4IOOQ,5.0,4.5556,-0.4444,4,9
AGFHNYLONVFKIGDYMRTS4O7MBCEA,5.0,5.0,0.0,1,7
AFDZYJB45D47JFNN3BOISX3DEIDQ,5.0,5.0,0.0,1,1
AF2BGY64L3KUCJU54BHW4HGNFXSA,5.0,3.125,-1.875,1,8
AEHW6LTUAT2NELIW2XANIO7OP2QA,3.0,5.0,2.0,2,2
AEUAJKKVX3JYNGOLWOEO7TVCBMPQ,1.0,4.0,3.0,1,1
AEKPSB3BWATKLYYY4GCVHYNRESLA,5.0,5.0,0.0,1,1
AFA7MPKC4LO4Q52F5LR3SFQRCN2Q,5.0,5.0,0.0,2,2
AFHZO754YC3BRMYRSJSTAECKYL6A,4.0,3.6667,-0.3333,1,6
AGGYYRTEKHDRGHVROFSZMMMQNOEA,5.0,5.0,0.0,1,1
AF57RUFXRUSU6UQZSQCNEKBKCTSQ,2.3333,1.0,-1.3333,3,1
AHYDRCU2MXY5H2A5EJNRCINUCUSQ,5.0,4.75,-0.25,1,4
AFJD5M5C4SJVV5N2DNBRTLFVKSTA,5.0,5.0,0.0,1,2
AHF76MHEQFVK5KA6XC2Q2VMM3V4Q,5.0,4.0,-1.0,1,2
AF5AFG2BIBN4BBN76IGDDGYPXTRQ,1.0,4.0,3.0,1,3
AETHIQNGOMVZHONVMEUKXEEEQBEA,5.0,5.0,0.0,2,2
AFGDK4XSVAKB7DX2ES6HNV2KLRWA,5.0,5.0,0.0,3,4
AHH57OJSBJNRMRCOHDMQSB2SPDFA,1.0,1.0,0.0,1,1
