category_path,source_review_count_from_beauty_users
"Clothing, Shoes & Jewelry > Women > Clothing > Lingerie, Sleep & Lounge > Lingerie > Bras > Everyday Bras",113282
"Clothing, Shoes & Jewelry > Novelty & More > Clothing > Novelty > Women > Tops & Tees > T-Shirts",109037
"Clothing, Shoes & Jewelry > Women > Clothing > Tops, Tees & Blouses > Tunics",104367
"Clothing, Shoes & Jewelry > Women > Shoes > Slippers",102987
"Clothing, Shoes & Jewelry > Women > Clothing > Dresses > Casual",96144
"Clothing, Shoes & Jewelry > Women > Clothing > Dresses",94416
"Clothing, Shoes & Jewelry > Women > Clothing > Tops, Tees & Blouses > T-Shirts",91270
"Clothing, Shoes & Jewelry > Women > Clothing > Tops, Tees & Blouses > Blouses & Button-Down Shirts",83197
Sports & Outdoors > Sports & Outdoor Recreation Accessories > Sports Water Bottles,64516
"Clothing, Shoes & Jewelry > Women > Clothing > Lingerie, Sleep & Lounge > Lingerie > Bras > Sports Bras",64295
"Clothing, Shoes & Jewelry > Women > Shoes > Fashion Sneakers",61771
"Clothing, Shoes & Jewelry > Women > Clothing > Tops, Tees & Blouses > Tanks & Camis",58928
"Clothing, Shoes & Jewelry > Women > Clothing > Jeans",58837
"Clothing, Shoes & Jewelry > Women > Shoes > Athletic > Walking",55513
"Clothing, Shoes & Jewelry > Women > Clothing > Active > Active Shorts",50880
"Clothing, Shoes & Jewelry > Women > Accessories > Sunglasses & Eyewear Accessories > Sunglasses",50402
"Clothing, Shoes & Jewelry > Sport Specific Clothing > Yoga > Women > Leggings",45860
"Clothing, Shoes & Jewelry > Women > Clothing > Lingerie, Sleep & Lounge > Lingerie > Panties > Briefs",45441
"Clothing, Shoes & Jewelry > Women > Clothing > Sweaters > Cardigans",44902
"Clothing, Shoes & Jewelry > Women > Clothing > Sweaters > Pullovers",42957
"Clothing, Shoes & Jewelry > Women > Shoes > Sandals > Flip-Flops",42549
"Clothing, Shoes & Jewelry > Women > Clothing > Leggings",41171
"Clothing, Shoes & Jewelry > Women > Clothing > Swimsuits & Cover Ups > Cover-Ups",39446
"Clothing, Shoes & Jewelry > Women > Clothing > Fashion Hoodies & Sweatshirts",39188
"Clothing, Shoes & Jewelry > Men > Clothing > Active > Athletic Socks",37998
"Clothing, Shoes & Jewelry > Women > Clothing > Swimsuits & Cover Ups > One-Pieces",37851
"Clothing, Shoes & Jewelry > Women > Clothing > Active > Leggings",36864
"Clothing, Shoes & Jewelry > Women > Shoes > Athletic > Running > Road Running",35928
"Clothing, Shoes & Jewelry > Women > Clothing > Lingerie, Sleep & Lounge > Sleep & Lounge > Sets",35641
"Clothing, Shoes & Jewelry > Women > Handbags & Wallets > Crossbody Bags",35550
"Clothing, Shoes & Jewelry > Women > Accessories > Wallets, Card Cases & Money Organizers > Wallets",35018
"Clothing, Shoes & Jewelry > Men > Clothing > Shirts > T-Shirts",34194
"Clothing, Shoes & Jewelry > Men > Shoes > Slippers",33861
"Clothing, Shoes & Jewelry > Women > Clothing > Lingerie, Sleep & Lounge > Sleep & Lounge > Nightgowns & Sleepshirts",33443
"Clothing, Shoes & Jewelry > Women > Shoes > Loafers & Slip-Ons",33221
"Clothing, Shoes & Jewelry > Men > Clothing > Jeans",32589
"Clothing, Shoes & Jewelry > Women > Shoes > Sandals > Slides",31350
"Clothing, Shoes & Jewelry > Women > Clothing > Active > Active Pants > Sweatpants",30561
"Clothing, Shoes & Jewelry > Women > Clothing > Dresses > Club & Night Out",30269
"Clothing, Shoes & Jewelry > Men > Accessories > Wallets, Card Cases & Money Organizers > Wallets",29604
"Clothing, Shoes & Jewelry > Women > Clothing > Lingerie, Sleep & Lounge > Sleep & Lounge > Robes",29409
"Clothing, Shoes & Jewelry > Men > Accessories > Belts",29079
"Clothing, Shoes & Jewelry > Women > Clothing > Active > Athletic Socks",28993
"Clothing, Shoes & Jewelry > Men > Clothing > Underwear > Boxer Briefs",27492
"Clothing, Shoes & Jewelry > Women > Clothing > Swimsuits & Cover Ups > Bikinis > Sets",27459
"Clothing, Shoes & Jewelry > Women > Shoes > Athletic > Water Shoes",27166
"Clothing, Shoes & Jewelry > Women > Handbags & Wallets > Totes",26865
"Clothing, Shoes & Jewelry > Women > Jewelry > Earrings > Hoop",24819
"Clothing, Shoes & Jewelry > Sport Specific Clothing > Yoga > Women > Pants",23481
"Clothing, Shoes & Jewelry > Women > Shoes > Flats",23197
